Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-02,17:00:00,14.5,14.9,14.5,14.75,478721,0
2017-10-02,18:00:00,14.79,15.0499,14.79,14.92,596213,0
2017-10-02,19:00:00,14.92,14.92,14.8499,14.88,96284,0
2017-10-02,20:00:00,14.86,14.95,14.8,14.94,98885,0
2017-10-02,21:00:00,14.9,14.93,14.77,14.77,86654,0
2017-10-02,22:00:00,14.76,14.9,14.75,14.9,117855,0
2017-10-03,16:00:00,14.85,14.85,14.7,14.72,72265,0
2017-10-03,17:00:00,14.72,14.75,14.652,14.7,181902,0
2017-10-03,18:00:00,14.7,14.75,14.7,14.7199,54708,0
2017-10-03,19:00:00,14.72,14.73,14.7101,14.72,9660,0
2017-10-03,20:00:00,14.73,14.73,14.71,14.73,54058,0
2017-10-03,21:00:00,14.72,14.73,14.7,14.72,17114,0
2017-10-03,22:00:00,14.71,14.75,14.7,14.75,154984,0
2017-10-04,16:00:00,14.7,14.75,14.6999,14.75,40663,0
2017-10-04,17:00:00,14.75,14.75,14.69,14.69,57452,0
2017-10-04,18:00:00,14.69,14.69,14.65,14.66,31322,0
2017-10-04,19:00:00,14.65,14.67,14.63,14.6302,43542,0
2017-10-04,20:00:00,14.6245,14.6245,14.61,14.62,18337,0
2017-10-04,21:00:00,14.62,14.65,14.61,14.62,12599,0
2017-10-04,22:00:00,14.62,14.67,14.6,14.67,127489,0
2017-10-05,16:00:00,14.69,14.69,14.55,14.56,11396,0
2017-10-05,17:00:00,14.6,14.6,14.55,14.555,82954,0
2017-10-05,18:00:00,14.55,14.73,14.52,14.71,258278,0
2017-10-05,19:00:00,14.73,15.25,14.716,15.05,271210,0
2017-10-05,20:00:00,15.015,15.19,15.015,15.1799,106966,0
2017-10-05,21:00:00,15.175,15.18,15.04,15.05,57346,0
2017-10-05,22:00:00,15.05,15.06,15.02,15.04,56223,0
2017-10-06,16:00:00,15.15,15.2142,15.05,15.0796,69425,0
2017-10-06,17:00:00,15.08,15.08,15,15.009,61598,0
2017-10-06,18:00:00,15.03,15.06,14.96,15,19175,0
2017-10-06,19:00:00,15,15.0392,15,15.02,4994,0
2017-10-06,20:00:00,15.02,15.0241,14.98,14.9975,38883,0
2017-10-06,21:00:00,14.9897,15.0326,14.98,15.0326,23614,0
2017-10-06,22:00:00,15.03,15.04,15.0054,15.03,32528,0
2017-10-09,16:00:00,15.1,15.15,15.005,15.005,20065,0
2017-10-09,17:00:00,15.0001,15.0446,14.945,14.98,50785,0
2017-10-09,18:00:00,14.98,14.98,14.95,14.9598,21800,0
2017-10-09,19:00:00,14.95,14.99,14.94,14.96,24715,0
2017-10-09,20:00:00,14.989,14.99,14.95,14.99,16322,0
2017-10-09,21:00:00,14.98,14.98,14.93,14.95,40393,0
2017-10-09,22:00:00,14.95,14.99,14.92,14.99,33464,0
2017-10-10,16:00:00,15,15,14.9588,14.9588,5403,0
2017-10-10,17:00:00,14.9872,14.99,14.88,14.98,31137,0
2017-10-10,18:00:00,14.955,14.98,14.935,14.95,13700,0
2017-10-10,19:00:00,14.95,14.99,14.92,14.99,6589,0
2017-10-10,20:00:00,14.98,14.99,14.96,14.99,2190,0
2017-10-10,21:00:00,14.99,15,14.976,15,8818,0
2017-10-10,22:00:00,14.99,15,14.92,14.99,36920,0
2017-10-11,16:00:00,14.99,14.99,14.92,14.92,10677,0
2017-10-11,17:00:00,14.92,14.9286,14.901,14.91,11500,0
2017-10-11,18:00:00,14.92,14.96,14.92,14.95,12508,0
2017-10-11,19:00:00,14.95,14.95,14.883,14.9,31036,0
2017-10-11,20:00:00,14.91,14.92,14.91,14.91,3800,0
2017-10-11,21:00:00,14.91,14.9607,14.9,14.9413,14267,0
2017-10-11,22:00:00,14.97,14.98,14.93,14.93,30204,0
2017-10-12,16:00:00,14.99,14.99,14.9767,14.9767,797,0
2017-10-12,17:00:00,14.96,14.96,14.9,14.95,32948,0
