Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-10-09,18:00:00,9.75,9.75,9.75,9.75,25000,0
2017-10-09,19:00:00,9.75,9.85,9.75,9.85,295400,0
2017-10-09,20:00:00,9.8,9.8,9.8,9.8,183400,0
2017-10-09,21:00:00,9.85,9.85,9.84,9.84,2000,0
2017-10-09,22:00:00,9.81,9.81,9.8,9.8,11000,0
2017-10-10,16:00:00,9.85,9.85,9.85,9.85,8841,0
2017-10-10,17:00:00,9.85,9.85,9.84,9.84,35200,0
2017-10-10,18:00:00,9.8204,9.8204,9.8204,9.8204,100,0
2017-10-10,22:00:00,9.83,9.83,9.83,9.83,400,0
2017-10-11,16:00:00,9.85,10.01,9.85,9.99,27400,0
2017-10-11,17:00:00,9.9,9.9,9.89,9.89,400,0
2017-10-11,20:00:00,9.87,9.87,9.87,9.87,900,0
2017-10-12,18:00:00,9.84,9.89,9.84,9.89,2400,0
2017-10-12,20:00:00,9.85,9.87,9.85,9.87,20500,0
2017-10-12,22:00:00,9.855,9.87,9.85,9.87,162594,0
2017-10-13,17:00:00,9.84,9.95,9.84,9.8625,43026,0
2017-10-13,18:00:00,9.85,9.85,9.84,9.8401,50600,0
2017-10-13,19:00:00,9.82,9.84,9.82,9.84,100100,0
2017-10-13,20:00:00,9.82,9.84,9.82,9.84,6892,0
2017-10-13,22:00:00,9.8106,9.84,9.8106,9.84,5123,0
2017-10-16,18:00:00,9.8304,9.8304,9.8304,9.8304,700,0
2017-10-16,19:00:00,9.78,9.83,9.78,9.83,7700,0
2017-10-16,20:00:00,9.8,9.8,9.799,9.8,2700,0
2017-10-16,21:00:00,9.8,9.83,9.8,9.83,3600,0
2017-10-17,17:00:00,9.83,9.83,9.83,9.83,2047,0
2017-10-19,16:00:00,9.83,9.83,9.83,9.83,200,0
2017-10-19,17:00:00,9.83,9.83,9.82,9.82,800,0
2017-10-19,18:00:00,9.82,9.86,9.82,9.86,2039,0
2017-10-19,19:00:00,9.86,9.86,9.86,9.86,500,0
2017-10-19,20:00:00,9.86,9.86,9.85,9.85,500,0
2017-10-19,21:00:00,9.85,9.85,9.84,9.84,500,0
2017-10-20,17:00:00,9.84,9.85,9.84,9.85,1900,0
2017-10-20,18:00:00,9.83,9.85,9.83,9.85,400,0
2017-10-20,19:00:00,9.85,9.85,9.85,9.85,200,0
2017-10-20,20:00:00,9.85,9.85,9.85,9.85,100,0
2017-10-20,21:00:00,9.85,9.85,9.85,9.85,100,0
2017-10-20,22:00:00,9.8499,9.8499,9.8499,9.8499,1730,0
2017-10-23,17:00:00,9.8459,9.8459,9.8459,9.8459,500,0
2017-10-23,18:00:00,9.85,9.85,9.85,9.85,100,0
2017-10-23,19:00:00,9.83,9.85,9.83,9.85,1090,0
2017-10-23,20:00:00,9.8372,9.8372,9.8372,9.8372,600,0
2017-10-25,16:00:00,9.82,9.84,9.8,9.84,1800,0
2017-10-25,17:00:00,9.84,9.84,9.84,9.84,150000,0
2017-10-25,18:00:00,9.84,9.84,9.84,9.84,6552,0
2017-10-25,19:00:00,9.84,9.84,9.84,9.84,256000,0
2017-10-25,20:00:00,9.85,9.85,9.85,9.85,3900,0
2017-10-26,22:00:00,9.84,9.84,9.84,9.84,25000,0
2017-10-27,22:00:00,9.8499,9.8499,9.8499,9.8499,487,0
2017-10-31,18:00:00,9.85,9.85,9.85,9.85,2150,0
2017-10-31,21:00:00,9.83,9.8538,9.83,9.8538,1800,0
2017-11-01,17:00:00,9.85,9.85,9.85,9.85,400,0
2017-11-02,17:00:00,9.82,9.82,9.82,9.82,150,0
2017-11-06,17:00:00,9.77,10.52,9.77,9.885,1350,0
2017-11-06,19:00:00,9.9,9.9,9.88,9.88,400,0
2017-11-06,21:00:00,9.88,9.88,9.88,9.88,100,0
2017-11-06,22:00:00,9.88,9.88,9.88,9.88,200,0
2017-11-07,20:00:00,9.9,9.9,9.89,9.89,2600,0
2017-11-07,21:00:00,9.89,9.89,9.89,9.89,200,0
2017-11-07,22:00:00,9.89,9.89,9.86,9.89,2600,0
2017-11-08,17:00:00,9.84,9.84,9.84,9.84,200,0
2017-11-08,18:00:00,9.86,9.86,9.84,9.84,300,0
2017-11-08,19:00:00,9.84,9.84,9.84,9.84,600,0
2017-11-08,22:00:00,9.88,9.88,9.88,9.88,100,0
2017-11-13,18:00:00,9.84,9.84,9.84,9.84,1000,0
2017-11-13,21:00:00,9.84,9.85,9.84,9.85,1700,0
2017-11-13,22:00:00,9.9,9.9,9.9,9.9,100,0
2017-11-14,19:00:00,9.86,9.86,9.86,9.86,100,0
2017-11-14,20:00:00,9.9,9.92,9.86,9.86,5400,0
2017-11-14,21:00:00,9.86,9.9,9.85,9.85,2875,0
2017-11-14,22:00:00,9.85,9.9,9.85,9.85,293050,0
2017-11-16,17:00:00,9.89,9.89,9.89,9.89,2200,0
2017-11-17,17:00:00,9.85,9.93,9.85,9.93,201209,0
2017-11-20,17:00:00,9.85,9.85,9.84,9.85,29097,0
2017-11-21,17:00:00,9.91,9.91,9.91,9.91,1000,0
2017-11-21,18:00:00,9.95,9.95,9.95,9.95,100,0
2017-11-21,20:00:00,9.87,9.87,9.87,9.87,1400,0
2017-11-21,21:00:00,9.86,9.86,9.86,9.86,100,0
2017-11-22,17:00:00,9.93,9.93,9.92,9.92,700,0
2017-11-22,18:00:00,9.88,9.88,9.85,9.85,9800,0
2017-11-22,20:00:00,9.93,9.93,9.93,9.93,200,0
2017-11-22,21:00:00,10.1628,10.1628,9.92,9.935,2900,0
2017-11-22,22:00:00,9.92,9.93,9.785,9.85,1400,0
2017-11-27,18:00:00,11.11,11.11,9.82,10,1200,0
2017-11-27,20:00:00,9.9799,9.9799,9.9799,9.9799,1000,0
2017-11-28,20:00:00,9.89,9.89,9.89,9.89,100,0
2017-11-28,21:00:00,9.93,9.93,9.93,9.93,100,0
2017-11-29,16:00:00,9.8,9.91,9.8,9.91,1000,0
2017-11-29,18:00:00,9.9,9.93,9.9,9.93,4900,0
2017-12-01,19:00:00,9.9,9.9,9.86,9.86,900,0
2017-12-01,22:00:00,9.9,9.9025,9.9,9.9025,9998,0
2017-12-04,17:00:00,9.8801,9.8801,9.88,9.88,600,0
