Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-07-14,15:35:00,25,25,25,25,200,0
2017-07-14,17:40:00,24.9,24.9,24.87,24.87,500,0
2017-07-19,19:40:00,24.8,24.8,24.8,24.8,1900,0
2017-07-20,18:30:00,24.75,24.75,24.75,24.75,200,0
2017-07-26,20:25:00,24.7561,24.7561,24.7561,24.7561,100,0
2017-08-02,18:50:00,24.9,24.9,24.9,24.9,100,0
2017-08-02,21:35:00,24.87,24.87,24.87,24.87,100,0
2017-08-04,17:10:00,24.88,24.88,24.88,24.88,4000,0
2017-08-10,15:35:00,25.4,25.4,25.04,25.04,6000,0
2017-08-10,16:50:00,25.04,25.04,25.04,25.04,200,0
2017-08-10,17:55:00,25.08,25.08,25.08,25.08,900,0
2017-08-10,18:00:00,25.09,25.09,25.09,25.09,999,0
2017-08-10,19:20:00,25.11,25.11,25.11,25.11,900,0
2017-08-15,15:35:00,25.47,25.47,25.47,25.47,200,0
2017-08-15,18:00:00,25.0199,25.02,24.954,24.954,2000,0
2017-08-16,20:50:00,25.02,25.02,25.02,25.02,999,0
2017-08-18,19:25:00,25.0901,25.1395,25.0901,25.1395,200,0
2017-08-21,16:15:00,25.27,25.27,25.2205,25.2205,340,0
2017-08-22,20:50:00,25.22,25.22,25.22,25.22,701,0
2017-08-23,20:10:00,25.02,25.03,25.005,25.005,1600,0
2017-08-23,20:15:00,25.03,25.03,25.03,25.03,200,0
2017-08-28,18:30:00,25.15,25.15,25.15,25.15,150,0
2017-08-30,18:10:00,25.06,25.06,25.06,25.06,800,0
2017-09-05,16:10:00,24.7501,24.7555,24.7501,24.7555,400,0
2017-09-05,17:15:00,24.9,24.9,24.9,24.9,100,0
2017-09-05,17:35:00,24.9,24.9,24.9,24.9,100,0
2017-09-05,19:30:00,25.02,25.02,25.02,25.02,100,0
2017-09-05,21:35:00,24.98,24.98,24.98,24.98,100,0
2017-09-08,20:45:00,24.93,24.9301,24.93,24.9301,200,0
2017-09-12,15:35:00,24.66,24.75,24.66,24.75,400,0
2017-09-18,16:50:00,24.415,24.415,24.415,24.415,300,0
2017-09-22,17:20:00,24.4199,24.4199,24.4199,24.4199,102,0
2017-09-29,15:55:00,24.23,24.23,24.23,24.23,200,0
2017-09-29,16:00:00,24.2217,24.23,24.22,24.23,1000,0
2017-10-05,15:55:00,23.9799,23.9799,23.9799,23.9799,150,0
2017-10-12,19:00:00,23.89,23.89,23.89,23.89,100,0
2017-10-16,15:35:00,24.7,24.7,24.7,24.7,500,0
2017-10-16,19:20:00,23.887,23.8892,23.887,23.8892,600,0
2017-10-19,19:40:00,23.89,23.89,23.89,23.89,200,0
2017-10-24,17:25:00,23.9608,23.98,23.9608,23.9752,500,0
2017-10-24,21:35:00,23.9799,23.98,23.9605,23.9605,700,0
2017-10-27,18:10:00,23.91,23.91,23.91,23.91,200,0
2017-10-30,17:30:00,23.98,23.98,23.98,23.98,100,0
2017-10-30,20:40:00,23.98,23.98,23.98,23.98,200,0
2017-11-06,15:40:00,23.82,23.82,23.79,23.79,574,0
2017-11-16,16:25:00,23.6688,23.6688,23.6688,23.6688,420,0
2017-11-16,17:40:00,23.5669,23.5669,23.5669,23.5669,200,0
2017-11-24,15:50:00,23.53,23.53,23.53,23.53,100,0
2017-11-24,16:35:00,23.52,23.52,23.52,23.52,100,0
2017-11-24,17:40:00,23.51,23.51,23.51,23.51,100,0
2017-11-24,18:40:00,23.51,23.51,23.51,23.51,120,0
2017-12-01,15:35:00,22.9,22.9,22.9,22.9,8889,0
2017-12-01,15:40:00,22.97,22.98,22.96,22.96,1100,0
2017-12-01,15:50:00,22.97,22.97,22.96,22.96,300,0
2017-12-01,16:05:00,22.95,22.96,22.95,22.96,200,0
2017-12-01,16:25:00,22.96,22.96,22.96,22.96,500,0
2017-12-01,16:40:00,22.97,22.97,22.97,22.97,500,0
2017-12-01,19:35:00,23.05,23.05,23.05,23.05,200,0
2017-12-01,19:40:00,23.02,23.02,23,23,600,0
2017-12-01,19:45:00,22.98,22.98,22.97,22.97,300,0
2017-12-01,20:05:00,22.98,23.03,22.98,23.01,1100,0
