Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-04-22,16:00:00,33,33,33,33,403,0
2016-04-22,16:10:00,33.19,33.19,33.19,33.19,100,0
2016-04-26,17:20:00,33.36,33.36,33.36,33.36,100,0
2016-04-26,20:20:00,33.4033,33.4033,33.4033,33.4033,100,0
2016-05-02,19:25:00,32.9,32.9,32.9,32.9,100,0
2016-05-12,19:05:00,33,33,33,33,100,0
2016-06-01,21:40:00,32.3601,32.3601,32.3601,32.3601,182,0
2016-06-02,19:40:00,33,33,33,33,100,0
2016-06-02,19:50:00,32.6,32.6,32.6,32.6,100,0
2016-06-21,20:25:00,31.89,31.89,31,31.18,1800,0
2016-06-21,20:30:00,31.46,31.66,31.45,31.45,1600,0
2016-06-21,20:35:00,31.4501,31.4501,31.02,31.32,1000,0
2016-06-21,20:40:00,31.36,31.36,31.36,31.36,700,0
2016-06-21,20:45:00,31.3299,31.36,31.3299,31.36,500,0
2016-06-21,20:50:00,31.36,31.66,31.36,31.64,700,0
2016-06-21,20:55:00,31.66,31.71,31.53,31.53,2298,0
2016-06-21,21:00:00,31.56,31.56,31.56,31.56,100,0
2016-06-21,21:05:00,31.4,31.4,31.4,31.4,100,0
2016-06-21,21:10:00,31.37,31.37,31.37,31.37,100,0
2016-06-21,21:40:00,31.35,31.63,31.35,31.38,2100,0
2016-06-21,21:45:00,31.4,31.4,31.34,31.4,600,0
2016-06-22,15:35:00,31.36,31.36,31.36,31.36,300,0
2016-06-22,15:40:00,31.56,31.56,31.56,31.56,500,0
2016-06-22,15:45:00,31.46,31.46,31.41,31.41,600,0
2016-06-22,15:50:00,31.38,31.38,31.35,31.35,200,0
2016-06-22,15:55:00,31.53,31.53,31.28,31.28,911,0
2016-06-22,16:00:00,31.2,31.2,30.99,31.05,1211,0
2016-06-22,16:05:00,31.05,31.06,31.05,31.06,300,0
2016-06-22,16:15:00,30.43,30.43,30.43,30.43,100,0
2016-06-22,16:25:00,30.5,30.6,30.5,30.6,1100,0
2016-06-22,16:30:00,30.66,30.66,30.66,30.66,1000,0
2016-06-22,16:45:00,31.03,31.06,31.03,31.06,400,0
2016-06-22,16:50:00,31.16,31.16,31.14,31.14,2000,0
2016-06-22,16:55:00,31.04,31.15,30.87,30.87,2011,0
2016-06-22,17:25:00,30.5,30.59,30.5,30.59,1700,0
2016-06-22,17:30:00,30.72,30.72,30.72,30.72,1400,0
2016-06-22,17:35:00,30.91,31.26,30.9,31.26,3900,0
2016-06-22,17:40:00,31.16,31.16,30.81,30.81,1800,0
2016-06-22,17:45:00,30.81,30.83,30.81,30.83,300,0
2016-06-23,15:45:00,30.68,30.68,30.68,30.68,100,0
2016-06-23,16:05:00,30.78,30.85,30.78,30.85,1400,0
2016-06-23,16:10:00,30.89,30.89,30.89,30.89,1200,0
2016-06-23,16:15:00,30.68,30.91,30.68,30.91,1400,0
2016-06-23,16:20:00,30.99,31,30.9601,30.99,1600,0
2016-06-23,16:25:00,30.91,31.36,30.91,31.36,300,0
2016-06-23,16:30:00,31.27,31.27,31.16,31.16,4000,0
2016-06-23,17:40:00,31.03,31.03,31.03,31.03,200,0
2016-06-23,17:45:00,30.9,30.9,30.9,30.9,200,0
2016-06-23,17:50:00,31,31.18,31,31.18,1300,0
2016-06-23,17:55:00,31.25,31.4,31.25,31.4,1600,0
2016-06-23,18:00:00,31.4,31.55,31.4,31.55,700,0
2016-06-23,18:05:00,31.57,31.57,31.57,31.57,200,0
2016-06-23,18:10:00,31.8,31.8,31.69,31.73,3100,0
2016-06-24,15:50:00,31,31.56,31,31.56,1600,0
2016-06-24,15:55:00,31.3,31.46,31.1999,31.33,3800,0
2016-06-24,16:00:00,31.46,31.46,31.46,31.46,1300,0
2016-06-24,16:05:00,31.43,31.43,31.38,31.43,2500,0
2016-06-24,16:10:00,31.51,31.8,31.51,31.8,3500,0
2016-06-24,16:15:00,31.89,31.89,31.85,31.85,2800,0
2016-06-24,16:40:00,31.44,31.44,31.44,31.44,100,0
2016-06-24,16:55:00,31.56,31.56,31.56,31.56,500,0
2016-06-24,17:00:00,31.59,31.59,31.59,31.59,500,0
2016-06-24,17:20:00,31.31,31.31,31.31,31.31,100,0
2016-06-24,17:25:00,31.1,31.1,31.1,31.1,300,0
2016-06-24,17:30:00,31.1,31.27,31.1,31.27,600,0
2016-06-24,18:10:00,31.18,31.18,31.161,31.161,400,0
2016-06-24,19:40:00,31.1,31.14,31.1,31.14,200,0
2016-06-24,21:00:00,30.97,30.97,30.97,30.97,100,0
2016-06-24,21:55:00,30.87,30.87,30.69,30.69,400,0
2016-06-27,18:55:00,28.6,28.6,28.6,28.6,100,0
2016-06-28,15:45:00,30.09,30.09,30.09,30.09,100,0
2016-06-28,21:00:00,30.36,30.36,30.36,30.36,100,0
2016-06-28,21:05:00,30.6,30.6,30.4,30.5001,300,0
2016-06-29,17:05:00,31.08,31.08,31.05,31.05,300,0
2016-06-29,17:25:00,31.04,31.23,31.04,31.04,300,0
2016-06-29,17:30:00,30.95,30.95,30.95,30.95,200,0
2016-06-29,17:40:00,31.18,32,31.18,31.48,1900,0
2016-06-29,17:45:00,31.51,31.7,31.51,31.65,2200,0
2016-06-29,17:50:00,31.46,31.88,31.38,31.63,2300,0
2016-06-29,17:55:00,31.66,31.8,31.66,31.77,900,0
2016-06-29,18:00:00,31.91,31.91,31.75,31.85,4296,0
2016-06-29,18:05:00,31.71,31.71,31.71,31.71,100,0
2016-06-29,21:35:00,31.71,31.71,31.71,31.71,100,0
2016-07-01,16:45:00,32.58,32.58,32.58,32.58,100,0
2016-07-01,17:30:00,32,32,32,32,100,0
2016-07-01,17:50:00,32.03,32.03,32.03,32.03,100,0
2016-07-01,17:55:00,32.47,32.47,32.47,32.47,100,0
2016-07-01,19:55:00,32.64,32.64,32.64,32.64,100,0
2016-07-06,17:40:00,32,32.67,32,32.67,500,0
2016-07-06,17:45:00,32.83,33.2,32.45,32.45,1300,0
2016-07-06,17:50:00,32.45,32.45,32.33,32.33,600,0
2016-07-06,19:10:00,32.31,32.31,31.8,31.8,200,0
2016-07-07,15:45:00,32.35,32.35,32.35,32.35,100,0
2016-07-07,16:05:00,32.21,32.21,32.21,32.21,100,0
2016-07-07,20:25:00,32.35,32.438,32.35,32.438,500,0
2016-07-07,20:30:00,32.5,32.5,32.46,32.46,300,0
2016-07-08,19:25:00,32.6,32.6,32.6,32.6,100,0
2016-07-08,21:20:00,32.8,32.8,32.8,32.8,100,0
