Date,Open,High,Low,Close,Volume,OpenInt
2017-10-11,83.54,85.16,83.31,84.64,34861021,0
2017-10-12,83.54,85.16,83.31,84.64,34861021,0
2017-10-13,83.54,85.16,83.31,84.64,34861021,0
2017-10-24,83.54,85.16,83.31,83.93,34861021,0
2017-10-25,83.54,85.16,83.31,83.93,34861021,0
2017-10-26,83.54,85.16,83.31,83.93,34861021,0
2017-10-27,83.54,85.16,83.31,83.93,34861021,0
2017-10-31,83.54,85.16,83.31,83.93,34861021,0
2017-11-01,83.54,85.16,83.31,83.93,34861021,0
2017-11-02,83.54,85.16,83.31,83.93,34861021,0
2017-11-03,83.54,85.16,83.31,83.93,34861021,0
2017-11-07,83.54,85.16,83.31,83.93,34861021,0
2017-11-08,83.54,85.16,83.31,83.93,34861021,0
2017-11-09,83.54,85.16,83.31,83.93,34861021,0
2017-11-21,83.54,85.16,83.31,83.93,34861021,0
2017-11-22,83.54,85.16,83.31,83.93,34861021,0
2017-11-24,83.54,85.16,83.31,83.93,34861021,0
2017-11-28,83.54,85.16,83.31,83.93,34861021,0
2017-11-29,83.54,85.16,83.31,83.93,34861021,0
2017-11-30,83.54,85.16,83.31,83.93,34861021,0
2017-12-01,83.54,85.16,83.31,83.93,34861021,0
2017-12-05,83.54,85.16,83.31,83.93,34861021,0
2017-12-06,83.54,85.16,83.31,83.93,34861021,0
