Date,Open,High,Low,Close,Volume,OpenInt
2017-10-26,10.01,10.03,10,10.01,2123968,0
2017-10-27,10.01,10.01,10,10,151831,0
2017-10-30,10.01,10.02,10,10.005,85720,0
2017-10-31,10.01,10.01,10,10.01,60903,0
2017-11-01,10.0024,10.01,10,10.01,52790,0
2017-11-02,10.01,10.01,10.005,10.01,95450,0
2017-11-03,10.01,10.07,10.01,10.07,213350,0
2017-11-06,10.05,10.07,10.04,10.06,770900,0
2017-11-07,10,10.07,10,10.06,193500,0
2017-11-08,10.06,10.07,10.06,10.07,84110,0
2017-11-09,10.03,10.06,10.03,10.06,7000,0
2017-11-10,10.05,10.05,10.03,10.05,365024,0
2017-11-13,10.0204,10.05,10,10.03,311102,0
2017-11-14,10.03,10.03,10.0293,10.0293,76000,0
2017-11-15,10.02,10.02,10,10.02,414203,0
2017-11-16,10.02,10.03,10.0197,10.02,338700,0
2017-11-20,10,10,9.97,10,70192,0
2017-11-21,10.01,10.01,9.95,10,64970,0
2017-11-24,10.01,10.01,10.01,10.01,3200,0
2017-11-28,9.95,9.9892,9.95,9.97,3300,0
2017-12-04,9.95,9.96,9.95,9.96,72908,0
2017-12-05,9.95,9.975,9.95,9.975,1400,0
2017-12-06,9.94,9.95,9.93,9.93,51900,0
